Substrate,Products,Kinetic Law,Modifiers,Parameters
CpGmedia, CpG1,Mass Action,,k1_CpGinternalisation
CpG1,CpG2,Mass Action,,k1_CpGinternalisation
CpG2,CpG1,Mass Action,,k1_CpGInternalReverse
CpG2,CpG3,Mass Action,,k1_CpGinternalisation
CpG3,CpG2,Mass Action,,k1_CpGInternalReverse
CpG3,CpG,Mass Action,,k1_CpGinternalisation
CpG,CpG3,Mass Action,,k1_CpGInternalReverse
CpG TLR9,CpGTLR9,LPS CD14 binding,,k1_konCD14LPS
CpGTLR9,TLR9,Mass Action Deg,,k1_koffCD14LPS
,TLR9,Constant,,k1_TLR4synth
TLR9,,Mass Action Deg,,k1_CD14deg
MYD88,MYD88s,Hill Xorder Activation,CpGTLR9 CpGTLR9,k1_MYD88activationbyTLR4 k2_MYD88activationHILL k3_MYD88activationEC50TLR9
MYD88s,MYD88,Spontaneous,,k1_MYD88deactivation
TRAF6,TRAF6s,Linear Activation_bymod1,MYD88s,k1_TRAF6activationbyMYD88
TRAF6s,TRAF6,Spontaneous,,k1_TRAF6inhibition
TAK1,TAK1p,Linear Activation_bymod1,TRAF6s,k1_TRAF6mediatedIKKK_offactivation
TAK1p,TAK1,Spontaneous,,k1_IKKKdeactivation
IKK_off,IKK_on,Linear Activation_bymod1,TAK1p,k1_IKKKmediatedIKKactivation
IKK_on,IKK_off,Spontaneous,,k1_IKKdeactivation
IKK_off,IKK_on,Linear Activation_bymod1,TAK1pC,k1_IKKKmediatedIKKactivation
IKK_on,IKK_off,Spontaneous,,k1_IKKinhibition
IKK_on,IKK_i,Mass Action Deg,,k1_IKKdeactivation
IKK_i,IKK_off,Spontaneous,,k1_IKKirecycledtoIKK_off
